Code Line,User Explanation,Line-Explanation in PCEX,Annotation Score
"System.out.println(""The point's coordinates: ("" + point.getX() + "", "" + point.getY() + "")"") ;",This prints the current value of the x and y variables within the Point1 object.,We could use the returned value of them directly in the println statement.,2
"System.out.println(""The point's coordinates: ("" + point.getX() + "", "" + point.getY() + "")"") ;",This prints the current value of the x and y variables within the Point1 object.,This statement prints the coordinates of the point to the default standard output stream.,4
"System.out.println(""The point's coordinates: ("" + point.getX() + "", "" + point.getY() + "")"") ;",This prints the current value of the x and y variables within the Point1 object.,The printed text is followed by the end-of-line character at the end.,1
"System.out.println(""The point's coordinates: ("" + point.getX() + "", "" + point.getY() + "")"") ;",This prints the current value of the x and y variables within the Point1 object.,"To get the point's coordinates, we invoke the method getX and getY of the point.",2
class Point1 {,This defines the class Point1.,We define the class Point1 to represent a point in the Euclidean plane.,4
class Point1 {,Everything that follows after the opening bracket is part of the Point1 class (until closing bracket).,We define the class Point1 to represent a point in the Euclidean plane.,2
while (num % divisor != 0) {,run a while-loop as long as the remainder of num/divisor is not equal to 0,"Since we don't know ahead of time how many times the loop will be repeated, we need to use a while loop.",2
while (num % divisor != 0) {,run a while-loop as long as the remainder of num/divisor is not equal to 0,We need to increment the divisor repeatedly as long as the divisor is not a factor of the number.,1
while (num % divisor != 0) {,run a while-loop as long as the remainder of num/divisor is not equal to 0,"Therefore, we need to use a loop structure.",4
while (num % divisor != 0) {,run a while-loop as long as the remainder of num/divisor is not equal to 0,"The condition in the while loop tests whether the body of the loop should be repeated, so it should test whether the divisor is not a factor of the number.",2
while (num % divisor != 0) {,run a while-loop as long as the remainder of num/divisor is not equal to 0,We could check whether the divisor is not a factor of the number by computing the remainder of the division of the number by the divisor.,3
while (num % divisor != 0) {,run a while-loop as long as the remainder of num/divisor is not equal to 0,"Since we don't know ahead of time how many times the loop will be repeated, we need to use a while loop.",3
while (num % divisor != 0) {,run a while-loop as long as the remainder of num/divisor is not equal to 0,We need to increment the divisor repeatedly as long as the divisor is not a factor of the number.,1
while (num % divisor != 0) {,run a while-loop as long as the remainder of num/divisor is not equal to 0,"Therefore, we need to use a loop structure.",4
while (num % divisor != 0) {,run a while-loop as long as the remainder of num/divisor is not equal to 0,"The condition in the while loop tests whether the body of the loop should be repeated, so it should test whether the divisor is not a factor of the number.",2
while (num % divisor != 0) {,run a while-loop as long as the remainder of num/divisor is not equal to 0,We could check whether the divisor is not a factor of the number by computing the remainder of the division of the number by the divisor.,3
private int y;,This line creates a private integer y variable to later be defined.,"Therefore, we need to declare an instance variable for the class to store the y-coordinate of the point.",2
private int y;,This line creates a private integer y variable to later be defined.,We declare it as integer because we want to have integer coordinates for the point.,3
private int y;,This line creates a private integer y variable to later be defined.,"Note that an instance variable is a variable defined in a class, for which each instantiated object of the class has a separate copy, or instance.",2
private int y;,This line creates a private integer y variable to later be defined.,Every object of the Point1 class will have its own y-coordinate.,1
"public void translate(int dx, int dy) {",This defines the function translate and its parameters x and y.,"This method shifts the coordinates by a specific delta-x and delta-y, which are passed as parameters.",4
"public void translate(int dx, int dy) {",This defines the function translate and its parameters x and y.,We define this method as public to provide access to this method from outside of the class.,2
"public void translate(int dx, int dy) {",This defines the function translate and its parameters x and y.,"Also, we define its return type as void, as it does not return any value.",1
"public void translate(int dx, int dy) {",This defines the function translate and its parameters x and y.,Note that both of the parameters are declared as integers because the point has integer coordinates.,2
divisor += 1;,"keep the adding 1 to newly defined ""divisor"" for each iteration","When the divisor is not a factor of the number, we increment the variable divisor by 1.",4
x += dx;,"this line adds the arguments the user gives to the function, to x.","To shift the x-coordinate of the point, we need to add dx to the value of the x-coordinate of the point.",4
public void setX(int newX) {,This defines the function setX and describes what parameters it should take (an int).,"Also, we define its return type as void, as it does not return any value.",1
public void setX(int newX) {,This defines the function setX and describes what parameters it should take (an int).,We define this method as public to provide access to this method from outside of the class.,2
public void setX(int newX) {,This defines the function setX and describes what parameters it should take (an int).,This method sets the current value of the x-coordinate of the point to the given value (newX) that is specified as the method's parameter.,3
public void setX(int newX) {,This defines the function setX and describes what parameters it should take (an int).,"Note that the instance variable x is private; thus, it cannot be directly changed from outside the class.",1
public void setX(int newX) {,This defines the function setX and describes what parameters it should take (an int).,The parameter of the method is declared as integer because the x-coordinate of the point is an integer.,3
public void setX(int newX) {,This defines the function setX and describes what parameters it should take (an int).,It can be changed from outside the class only through this method.,1
public void setX(int newX) {,This defines the function setX and describes what parameters it should take (an int).,"Also, we define its return type as void, as it does not return any value.",1
public void setX(int newX) {,This defines the function setX and describes what parameters it should take (an int).,We define this method as public to provide access to this method from outside of the class.,1
public void setX(int newX) {,This defines the function setX and describes what parameters it should take (an int).,This method sets the current value of the x-coordinate of the point to the given value (newX) that is specified as the method's parameter.,3
public void setX(int newX) {,This defines the function setX and describes what parameters it should take (an int).,"Note that the instance variable x is private; thus, it cannot be directly changed from outside the class.",1
public void setX(int newX) {,This defines the function setX and describes what parameters it should take (an int).,The parameter of the method is declared as integer because the x-coordinate of the point is an integer.,3
public void setX(int newX) {,This defines the function setX and describes what parameters it should take (an int).,It can be changed from outside the class only through this method.,1
public void setX(int newX) {,This defines the function setX and describes what parameters it should take (an int).,"Also, we define its return type as void, as it does not return any value.",2
public void setX(int newX) {,This defines the function setX and describes what parameters it should take (an int).,We define this method as public to provide access to this method from outside of the class.,2
public void setX(int newX) {,This defines the function setX and describes what parameters it should take (an int).,This method sets the current value of the x-coordinate of the point to the given value (newX) that is specified as the method's parameter.,3
public void setX(int newX) {,This defines the function setX and describes what parameters it should take (an int).,"Note that the instance variable x is private; thus, it cannot be directly changed from outside the class.",1
public void setX(int newX) {,This defines the function setX and describes what parameters it should take (an int).,The parameter of the method is declared as integer because the x-coordinate of the point is an integer.,3
public void setX(int newX) {,This defines the function setX and describes what parameters it should take (an int).,It can be changed from outside the class only through this method.,1
public int getX() {,defines fucntion getX,We define this method as public to provide access to this method from outside of the class.,2
public int getX() {,defines fucntion getX,This method returns the x-coordinate of the point.,2
public int getX() {,defines fucntion getX,"Note that the instance variable x is private; thus, it cannot be directly accessed from outside the class.",1
public int getX() {,defines fucntion getX,"Also, we define its return type as int, as it returns the x-coordinate of the point which is an integer.",2
public int getX() {,defines fucntion getX,It can be accessed from outside the class only through this getter method.,1
public int getX() {,defines fucntion getX,We define this method as public to provide access to this method from outside of the class.,2
public int getX() {,defines fucntion getX,This method returns the x-coordinate of the point.,2
public int getX() {,defines fucntion getX,"Note that the instance variable x is private; thus, it cannot be directly accessed from outside the class.",1
public int getX() {,defines fucntion getX,"Also, we define its return type as int, as it returns the x-coordinate of the point which is an integer.",2
public int getX() {,defines fucntion getX,It can be accessed from outside the class only through this getter method.,1
"System.out.println(""The smallest divisor of "" + num + "" is "" + divisor);","output the result of ""divisor""'s last value to the user",This statement prints to the default standard output stream the smallest divisor of the number.,3
"String fullName = ""John Smith""","This stores the String ""John Smith"" into a string variable named fullName.",We define a string variable to hold the name.,4
"String fullName = ""John Smith""",fullName can later be used to get the data (initials) from it.,We define a string variable to hold the name.,1
"String firstInitial = fullName.substring(0, 1);",This uses the fullName variable to get the first character from it and store it in a variable string called firstInitial.,We need to extract the first letter from the first name.,3
"String firstInitial = fullName.substring(0, 1);",This uses the fullName variable to get the first character from it and store it in a variable string called firstInitial.,"We do this by calling the substring(0,1) method.",2
"String lastInitial = fullName.substring(5, 6);",This uses the fullName variable to get the 6th character from it and store it in a variable string called lastInitial.,We need to extract the first letter from the last name.,3
"String lastInitial = fullName.substring(5, 6);",This uses the fullName variable to get the 6th character from it and store it in a variable string called lastInitial.,"We do this by calling the substring(5,6) method.",2
String initials = firstInitial + lastInitial;,This creates a new string called initials by combining the firstInitial and lastInitial string.,This statements concatenates the extracted initials and store the result in the string initials.,4
System.out.println(initials);,This prints out the initials.,This statement prints the initials to the default standard output stream.,4
System.out.println(initials);,This prints out the initials.,The printed value is followed by the end-of-line character at the end.,1
System.out.println(initials);,This prints out the initials.,This statement prints the initials to the default standard output stream.,4
System.out.println(initials);,This prints out the initials.,The printed value is followed by the end-of-line character at the end.,1
Scanner scan = new Scanner(System.in);,This creates a new scanner object called scan.,"To read the input value from the user, we need to define a Scanner object.",4
Scanner scan = new Scanner(System.in);,This creates a new scanner object called scan.,We need to read and process the integer that the user enters.,2
Scanner scan = new Scanner(System.in);,scan can later be used to help retrieve user input.,"To read the input value from the user, we need to define a Scanner object.",3
Scanner scan = new Scanner(System.in);,scan can later be used to help retrieve user input.,We need to read and process the integer that the user enters.,4
"System.out.println(""Enter an integer: "");","This prints out ""Enter an integer: "" which tells the user what to do.",We prompt the user to enter an integer.,4
int num = scan.nextInt();,This saves what ever the user entered into an int variable called num/.,We read the input integer by calling the nextInt() method because this input is an integer.,3
int num = scan.nextInt();,This saves what ever the user entered into an int variable called num/.,We need to read the integer that the user enters and store it in a variable.,4
scan.close();,This closes / end the scanner since it will no longer be used.,We close the scanner as we do not want to process any input from the user in the rest of the program.,5
if ( num > 0 ) {,This checks whether the value given by the user was greater than 0.,"If the integer is neither positive nor negative, then we could conclude that the integer is zero.",3
if ( num > 0 ) {,This checks whether the value given by the user was greater than 0.,"The conditions that tests for the integer's sign are mutually exclusive (i.e., one and only one of the conditions can be true); therefore, their order does not matter.",1
if ( num > 0 ) {,This checks whether the value given by the user was greater than 0.,"To determine the sign of the integer, we need to perform two tests: one for determining whether the integer is positive and one for determining whether the integer is negative.",2
if ( num > 0 ) {,This checks whether the value given by the user was greater than 0.,"Also, it is better to use if-else if statements instead of sequential if statements because an integer has only one sign and once we find the sign, we don't need to perform more tests.",1
if ( num > 0 ) {,This checks whether the value given by the user was greater than 0.,"If both of these tests fail, then we could conclude that the integer is zero.",2
if ( num > 0 ) {,This checks whether the value given by the user was greater than 0.,"If the integer is neither positive nor negative, then we could conclude that the integer is zero.",2
if ( num > 0 ) {,This checks whether the value given by the user was greater than 0.,"The conditions that tests for the integer's sign are mutually exclusive (i.e., one and only one of the conditions can be true); therefore, their order does not matter.",1
if ( num > 0 ) {,This checks whether the value given by the user was greater than 0.,"To determine the sign of the integer, we need to perform two tests: one for determining whether the integer is positive and one for determining whether the integer is negative.",1
if ( num > 0 ) {,This checks whether the value given by the user was greater than 0.,"Also, it is better to use if-else if statements instead of sequential if statements because an integer has only one sign and once we find the sign, we don't need to perform more tests.",1
if ( num > 0 ) {,This checks whether the value given by the user was greater than 0.,"If both of these tests fail, then we could conclude that the integer is zero.",2
if ( num > 0 ) {,It can be used to check if the value is positive.,"If the integer is neither positive nor negative, then we could conclude that the integer is zero.",2
if ( num > 0 ) {,It can be used to check if the value is positive.,"The conditions that tests for the integer's sign are mutually exclusive (i.e., one and only one of the conditions can be true); therefore, their order does not matter.",1
if ( num > 0 ) {,It can be used to check if the value is positive.,"To determine the sign of the integer, we need to perform two tests: one for determining whether the integer is positive and one for determining whether the integer is negative.",3
if ( num > 0 ) {,It can be used to check if the value is positive.,"Also, it is better to use if-else if statements instead of sequential if statements because an integer has only one sign and once we find the sign, we don't need to perform more tests.",1
if ( num > 0 ) {,It can be used to check if the value is positive.,"If both of these tests fail, then we could conclude that the integer is zero.",2
if ( num > 0 ) {,This checks whether the value given by the user was greater than 0.,"If the integer is neither positive nor negative, then we could conclude that the integer is zero.",2
if ( num > 0 ) {,This checks whether the value given by the user was greater than 0.,"The conditions that tests for the integer's sign are mutually exclusive (i.e., one and only one of the conditions can be true); therefore, their order does not matter.",1
if ( num > 0 ) {,This checks whether the value given by the user was greater than 0.,"To determine the sign of the integer, we need to perform two tests: one for determining whether the integer is positive and one for determining whether the integer is negative.",2
if ( num > 0 ) {,This checks whether the value given by the user was greater than 0.,"Also, it is better to use if-else if statements instead of sequential if statements because an integer has only one sign and once we find the sign, we don't need to perform more tests.",1
if ( num > 0 ) {,This checks whether the value given by the user was greater than 0.,"If both of these tests fail, then we could conclude that the integer is zero.",2
if ( num > 0 ) {,It can be used to check if the value is positive.,"If the integer is neither positive nor negative, then we could conclude that the integer is zero.",2
if ( num > 0 ) {,It can be used to check if the value is positive.,"The conditions that tests for the integer's sign are mutually exclusive (i.e., one and only one of the conditions can be true); therefore, their order does not matter.",1
if ( num > 0 ) {,It can be used to check if the value is positive.,"To determine the sign of the integer, we need to perform two tests: one for determining whether the integer is positive and one for determining whether the integer is negative.",2
if ( num > 0 ) {,It can be used to check if the value is positive.,"Also, it is better to use if-else if statements instead of sequential if statements because an integer has only one sign and once we find the sign, we don't need to perform more tests.",1
if ( num > 0 ) {,It can be used to check if the value is positive.,"If both of these tests fail, then we could conclude that the integer is zero.",2
"System.out.println(""The integer is positivie."");","This prints out ""The integer is positive"" so that the user knows that their value is positive.",This statement prints that the integer is positive.,4
"System.out.println(""The integer is positivie."");","This prints out ""The integer is positive"" so that the user knows that their value is positive.",The printed text is followed by the end-of-line character at the end.,1
} else if ( num < 0 ) {,This checks if num is negative only when num fails to be positive.,"If the first test fails (i.e., when the integer is not positive), we need to test if the integer is negative.",4
"System.out.println(""The integer is negative."");","This prints that ""the integer is negative"" so that the user knows that the value is negative.",The printed text is followed by the end-of-line character at the end.,1
"System.out.println(""The integer is negative."");","This prints that ""the integer is negative"" so that the user knows that the value is negative.",This statement prints that the integer is negative.,4
} else {,This allows for the codes within the else brackets to execute only if the num is not neg or positive.,"We need to end the above if-else if statements with an else statement that its body is executed when none of the above tests are true, that is when the integer is zero.",4
"System.out.println(""The integer is zero."");",This prints that the integer was zero so that the user knows that their value was 0.,The printed text is followed by the end-of-line character at the end.,1
"System.out.println(""The integer is zero."");",This prints that the integer was zero so that the user knows that their value was 0.,This statement prints that the integer is zero.,4
"int [] arr = { 1, 2, 3};","This stores the array [1,2,3] in a variable called arr so that the elements in arr can later be incremented.",We initialize the array of type int to hold the specified numbers.,4
"int [] arr = { 1, 2, 3};","This stores the array [1,2,3] in a variable called arr so that the elements in arr can later be incremented.",We initialize the array by separating elements with a comma and enclosing the collection in braces { }.,2
for ( int i = 0; i < arr.length; i++ ) {,This loop will iterate through all elements in the array so that all values can be incremented.,We want to iterate over the array and increment each element in the array by 1.,4
for ( int i = 0; i < arr.length; i++ ) {,This loop will iterate through all elements in the array so that all values can be incremented.,"To really change the array as we march across it, we need to use indexes so we can assign an updated value to each position as we go.",2
for ( int i = 0; i < arr.length; i++ ) {,This loop will iterate through all elements in the array so that all values can be incremented.,We need the array indexes to start at 0 (array indexes start from 0) with every integer number up to but not including the array length.,3
arr[i] += 1;,This grabs the value stored in index i of the array and increments it by 1 and adds it back to the array.,This statement increments the element at the index i of the array by 1.,4
Scanner scan = new Scanner(System.in);,This initiates a new scanner object with a variable name of scan.,"To read the input value from the user, we need to define a Scanner object.",4
Scanner scan = new Scanner(System.in);,This initiates a new scanner object with a variable name of scan.,We need to read and process the value that the user enters.,1
Scanner scan = new Scanner(System.in);,scan can be used to get input from the user.,"To read the input value from the user, we need to define a Scanner object.",4
Scanner scan = new Scanner(System.in);,scan can be used to get input from the user.,We need to read and process the value that the user enters.,4
Scanner scan = new Scanner(System.in);,This initiates a new scanner object with a variable name of scan.,"To read the input value from the user, we need to define a Scanner object.",3
Scanner scan = new Scanner(System.in);,This initiates a new scanner object with a variable name of scan.,We need to read and process the value that the user enters.,1
Scanner scan = new Scanner(System.in);,scan can be used to get input from the user.,"To read the input value from the user, we need to define a Scanner object.",3
Scanner scan = new Scanner(System.in);,scan can be used to get input from the user.,We need to read and process the value that the user enters.,4
"System.out.println(""Enter an integer for seconds: "");","This prints out ""Enter an integer for seconds:"" so that the user knows what to enter.",We prompt the user to enter the seconds.,4
int seconds = scan.nextInt();,This gets user input and saves it in an int variable called seconds.,We need to read the seconds that the user enters and store it in a variable.,4
int seconds = scan.nextInt();,This gets user input and saves it in an int variable called seconds.,We read the seconds by calling the nextInt() method because this input is an integer.,3
scan.close();,This closes scan since it will not be used anymore.,We close the scanner as we do not want to process any input from the user in the rest of the program.,5
int minutes = seconds / 60;,This divides the integer value that the user entered by 60 and saves it in a variable called minutes.,"To obtain the minutes in seconds, we divide the seconds by 60 because there are 60 seconds in a minute.",3
int minutes = seconds / 60;,This divides the integer value that the user entered by 60 and saves it in a variable called minutes.,"Note that since both operands of division operator are integer, the fractional part of the result is truncated, if there is any.",1
int remainingSeconds = seconds % 60;,This takes the modulus of user input and 60 and saves it into an int variable named remaining Seconds.,This is because there are 60 seconds in a minute.,1
int remainingSeconds = seconds % 60;,This takes the modulus of user input and 60 and saves it into an int variable named remaining Seconds.,Note that the % operator returns the remainder of the division.,1
int remainingSeconds = seconds % 60;,This takes the modulus of user input and 60 and saves it into an int variable named remaining Seconds.,"To obtain the remaining seconds after taking away the minutes, we have to take the remainder of the seconds divided by 60.",2
"System.out.println(seconds + "" seconds is "" + minutes + "" minutes and "" + remainingSeconds + "" seconds."");",This prints out the previously define minutes and remainingSeconds data.,This statement prints to the default standard output stream the minutes and remaining seconds from the input amount of time in seconds.,3
"System.out.println(seconds + "" seconds is "" + minutes + "" minutes and "" + remainingSeconds + "" seconds."");",This prints out the previously define minutes and remainingSeconds data.,The printed text is followed by the end-of-line character at the end.,1
int num = 15;,This saves the integer 15 to a variable called num.,We define variable num to store the number that we want to find its smallest divisor.,1
int num = 15;,This saves the integer 15 to a variable called num.,We could initialize it to any positive integer greater than 1.,1
int num = 15;,This saves the integer 15 to a variable called num.,"In this program, we initialize variable num to 15.",2
int divisor = 2;,This saves the integer 2 into a variable called divisor.,We initialize variable divisor by 2 because we want to find the smallest divisor except 1.,3
int divisor = 2;,This saves the integer 2 into a variable called divisor.,We define variable divisor to store the smallest divisor of the number.,2
while (num % divisor != 0) {,"While divisor is not a divisor of num, the body in the while function will execute.","Since we don't know ahead of time how many times the loop will be repeated, we need to use a while loop.",2
while (num % divisor != 0) {,"While divisor is not a divisor of num, the body in the while function will execute.",We need to increment the divisor repeatedly as long as the divisor is not a factor of the number.,1
while (num % divisor != 0) {,"While divisor is not a divisor of num, the body in the while function will execute.","Therefore, we need to use a loop structure.",1
while (num % divisor != 0) {,"While divisor is not a divisor of num, the body in the while function will execute.","The condition in the while loop tests whether the body of the loop should be repeated, so it should test whether the divisor is not a factor of the number.",2
while (num % divisor != 0) {,"While divisor is not a divisor of num, the body in the while function will execute.",We could check whether the divisor is not a factor of the number by computing the remainder of the division of the number by the divisor.,3
divisor += 1;,"This increments divisor by one, so that in the next round, the while loop will check whether the data in divisor is a divisor of num.","When the divisor is not a factor of the number, we increment the variable divisor by 1.",4
int divisor = 2;,This saves the integer 2 into a variable called divisor.,We initialize variable divisor by 2 because we want to find the smallest divisor except 1.,3
int divisor = 2;,This saves the integer 2 into a variable called divisor.,We define variable divisor to store the smallest divisor of the number.,3
int divisor = 2;,This is the smallest possible divisor (greater than 1) of any number.,We initialize variable divisor by 2 because we want to find the smallest divisor except 1.,2
int divisor = 2;,This is the smallest possible divisor (greater than 1) of any number.,We define variable divisor to store the smallest divisor of the number.,2
int divisor = 2;,This saves the integer 2 into a variable called divisor.,We initialize variable divisor by 2 because we want to find the smallest divisor except 1.,3
int divisor = 2;,This saves the integer 2 into a variable called divisor.,We define variable divisor to store the smallest divisor of the number.,4
int divisor = 2;,This is the smallest possible divisor (greater than 1) of any number.,We initialize variable divisor by 2 because we want to find the smallest divisor except 1.,2
int divisor = 2;,This is the smallest possible divisor (greater than 1) of any number.,We define variable divisor to store the smallest divisor of the number.,2
int divisor = 2;,This saves the integer 2 into a variable called divisor.,We initialize variable divisor by 2 because we want to find the smallest divisor except 1.,3
int divisor = 2;,This saves the integer 2 into a variable called divisor.,We define variable divisor to store the smallest divisor of the number.,4
int divisor = 2;,This is the smallest possible divisor (greater than 1) of any number.,We initialize variable divisor by 2 because we want to find the smallest divisor except 1.,2
int divisor = 2;,This is the smallest possible divisor (greater than 1) of any number.,We define variable divisor to store the smallest divisor of the number.,2
"System.out.println(""The smallest divisor of "" + num + "" is "" + divisor);",This prints out what the smallest divisor of the number is.,This statement prints to the default standard output stream the smallest divisor of the number.,4
int num = 1234;,"We need to initialize an integer variable which will hold an arbitrary integer value, so that we can perform the necessary operation of extracting its digits from right to left.",We need variable num to store the integer that we want to print its digits.,3
int num = 1234;,"We need to initialize an integer variable which will hold an arbitrary integer value, so that we can perform the necessary operation of extracting its digits from right to left.",We need variable num to store the integer that we want to print its digits.,3
int num = 1234;,"We need to initialize an integer variable which will hold an arbitrary integer value, so that we can perform the necessary operation of extracting its digits from right to left.",We need variable num to store the integer that we want to print its digits.,3
int num = 1234;,"We need to initialize an integer variable which will hold an arbitrary integer value, so that we can perform the necessary operation of extracting its digits from right to left.",We need variable num to store the integer that we want to print its digits.,3
int num = 1234;,"We need to initialize an integer variable which will hold an arbitrary integer value, so that we can perform the necessary operation of extracting its digits from right to left.",We need variable num to store the integer that we want to print its digits.,3
int num = 1234;,"We need to initialize an integer variable which will hold an arbitrary integer value, so that we can perform the necessary operation of extracting its digits from right to left.",We need variable num to store the integer that we want to print its digits.,3
int num = 1234;,"We need to initialize an integer variable which will hold an arbitrary integer value, so that we can perform the necessary operation of extracting its digits from right to left.",We need variable num to store the integer that we want to print its digits.,3
int num = 1234;,"We need to initialize an integer variable which will hold an arbitrary integer value, so that we can perform the necessary operation of extracting its digits from right to left.",We need variable num to store the integer that we want to print its digits.,3
do {,"It's the beginning of a do while loop, we need the program to loop through the length of the number, so as to extract the digits.",We need to process the digits of the integer from right to left and print them.,3
do {,"It's the beginning of a do while loop, we need the program to loop through the length of the number, so as to extract the digits.","Therefore, we need to use a loop structure.",3
do {,"It's the beginning of a do while loop, we need the program to loop through the length of the number, so as to extract the digits.","In this program, we do this by using a do loop.",2
do {,"It's the beginning of a do while loop, we need the program to loop through the length of the number, so as to extract the digits.",The do loop is more appropriate than a while loop because a positive integer always has at least one digit which results in the body of the loop performing at least once.,3
System.out.println(num % 10);,"This line of code , prints the last digit, that is the right most digit of the number.",Each printed digit is followed by the line separator (e.g. '\n') at the end.,1
System.out.println(num % 10);,"This line of code , prints the last digit, that is the right most digit of the number.",We need to extract the last digit in the 1's position of the integer.,3
System.out.println(num % 10);,"This line of code , prints the last digit, that is the right most digit of the number.","For example, if the integer is 1234, we want to extract the digit 4 that is in 1's position of the integer.",2
System.out.println(num % 10);,"This line of code , prints the last digit, that is the right most digit of the number.",We do this by calculating the remainder of the division of the integer by 10.,1
System.out.println(num % 10);,"This line of code , prints the last digit, that is the right most digit of the number.","Then, this statement prints the last digit of the integer to the standard output stream.",4
System.out.println(num % 10);,"This works by taking its reminder when divided by 10, using the %(modulo) operator.",Each printed digit is followed by the line separator (e.g. '\n') at the end.,1
System.out.println(num % 10);,"This works by taking its reminder when divided by 10, using the %(modulo) operator.",We need to extract the last digit in the 1's position of the integer.,2
System.out.println(num % 10);,"This works by taking its reminder when divided by 10, using the %(modulo) operator.","For example, if the integer is 1234, we want to extract the digit 4 that is in 1's position of the integer.",1
System.out.println(num % 10);,"This works by taking its reminder when divided by 10, using the %(modulo) operator.",We do this by calculating the remainder of the division of the integer by 10.,4
System.out.println(num % 10);,"This works by taking its reminder when divided by 10, using the %(modulo) operator.","Then, this statement prints the last digit of the integer to the standard output stream.",1
int num = 1234;,"This saves the integer, whose digits will be printed from left to right, in a variable called num.",We need variable num to store the integer that we want to print its digits.,2
num = num / 10;,"After extracting the right most digit, we need to get rid of it from the number.","Therefore, this division will remove the digit that we processed (lastDigit) and we can move on to the next digit.",4
num = num / 10;,"After extracting the right most digit, we need to get rid of it from the number.",We truncate the extracted digit that we processed from the original integer by dividing the integer by 10.,2
num = num / 10;,"After extracting the right most digit, we need to get rid of it from the number.",Note that this statement performs an integer division because both operand of the / operator are integer.,1
num = num / 10;,"To do that, we simply divide the integer number by 10, and the end result is a the same number without the right most digit.","Therefore, this division will remove the digit that we processed (lastDigit) and we can move on to the next digit.",2
num = num / 10;,"To do that, we simply divide the integer number by 10, and the end result is a the same number without the right most digit.",We truncate the extracted digit that we processed from the original integer by dividing the integer by 10.,2
num = num / 10;,"To do that, we simply divide the integer number by 10, and the end result is a the same number without the right most digit.",Note that this statement performs an integer division because both operand of the / operator are integer.,1
num = num / 10;,After that we replace the previous num value with this value (the one with the right most digit removed).,"Therefore, this division will remove the digit that we processed (lastDigit) and we can move on to the next digit.",3
num = num / 10;,After that we replace the previous num value with this value (the one with the right most digit removed).,We truncate the extracted digit that we processed from the original integer by dividing the integer by 10.,2
num = num / 10;,After that we replace the previous num value with this value (the one with the right most digit removed).,Note that this statement performs an integer division because both operand of the / operator are integer.,1
do {,The code in the body of the do will first execute and continue to execute while the while function is true.,We need to process the digits of the integer from right to left and print them.,1
do {,The code in the body of the do will first execute and continue to execute while the while function is true.,"Therefore, we need to use a loop structure.",1
do {,The code in the body of the do will first execute and continue to execute while the while function is true.,"In this program, we do this by using a do loop.",1
do {,The code in the body of the do will first execute and continue to execute while the while function is true.,The do loop is more appropriate than a while loop because a positive integer always has at least one digit which results in the body of the loop performing at least once.,1
} while (num > 0);,This is the continuation test.,We need to check for termination conditions to avoid infinite loops.,2
} while (num > 0);,This is the continuation test.,The loop should terminate when we run out of digits to process.,1
} while (num > 0);,This is the continuation test.,"We could check whether the are more digits left by checking whether the variable num, which gets updated in the body of the do loop, is greater than zero.",1
} while (num > 0);,This is the continuation test.,"If variable num is greater than zero, then it must have at least one digit, and in that case, the body of the do loop will be repeated again.",1
} while (num > 0);,This is the continuation test.,The body of the while loop should repeat as long as there are more digits left that we have not processed yet.,1
} while (num > 0);,This is what drives the loop.,We need to check for termination conditions to avoid infinite loops.,2
} while (num > 0);,This is what drives the loop.,The loop should terminate when we run out of digits to process.,2
} while (num > 0);,This is what drives the loop.,"We could check whether the are more digits left by checking whether the variable num, which gets updated in the body of the do loop, is greater than zero.",1
} while (num > 0);,This is what drives the loop.,"If variable num is greater than zero, then it must have at least one digit, and in that case, the body of the do loop will be repeated again.",1
} while (num > 0);,This is what drives the loop.,The body of the while loop should repeat as long as there are more digits left that we have not processed yet.,1
} while (num > 0);,"As long as the number doesn't reduce to 0 , we keep running this loop.",We need to check for termination conditions to avoid infinite loops.,2
} while (num > 0);,"As long as the number doesn't reduce to 0 , we keep running this loop.",The loop should terminate when we run out of digits to process.,2
} while (num > 0);,"As long as the number doesn't reduce to 0 , we keep running this loop.","We could check whether the are more digits left by checking whether the variable num, which gets updated in the body of the do loop, is greater than zero.",3
} while (num > 0);,"As long as the number doesn't reduce to 0 , we keep running this loop.","If variable num is greater than zero, then it must have at least one digit, and in that case, the body of the do loop will be repeated again.",2
} while (num > 0);,"As long as the number doesn't reduce to 0 , we keep running this loop.",The body of the while loop should repeat as long as there are more digits left that we have not processed yet.,4
} while (num > 0);,The loop is terminated once all the digits have been printed and the number reduces to 0.,We need to check for termination conditions to avoid infinite loops.,2
} while (num > 0);,The loop is terminated once all the digits have been printed and the number reduces to 0.,The loop should terminate when we run out of digits to process.,3
} while (num > 0);,The loop is terminated once all the digits have been printed and the number reduces to 0.,"We could check whether the are more digits left by checking whether the variable num, which gets updated in the body of the do loop, is greater than zero.",2
} while (num > 0);,The loop is terminated once all the digits have been printed and the number reduces to 0.,"If variable num is greater than zero, then it must have at least one digit, and in that case, the body of the do loop will be repeated again.",2
} while (num > 0);,The loop is terminated once all the digits have been printed and the number reduces to 0.,The body of the while loop should repeat as long as there are more digits left that we have not processed yet.,3
System.out.println(num % 10);,This line prints out what right most integer of the current num by using the modulus function.,Each printed digit is followed by the line separator (e.g. '\n') at the end.,1
System.out.println(num % 10);,This line prints out what right most integer of the current num by using the modulus function.,We need to extract the last digit in the 1's position of the integer.,3
System.out.println(num % 10);,This line prints out what right most integer of the current num by using the modulus function.,"For example, if the integer is 1234, we want to extract the digit 4 that is in 1's position of the integer.",2
